shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
L,398,200,#FF8C00,15,True,180,0,True
L,567,206,#0064FF,35,False,180,14,True
L,212,518,#FF8C00,35,False,180,0,True
O,621,731,#FF8C00,35,False,270,7,True
L,659,200,#0064FF,15,True,0,0,True
O,826,146,#0064FF,35,False,0,10,True
L,312,107,#0064FF,35,False,0,3,True
Q,758,155,#0064FF,35,False,180,0,True
Q,138,607,#0064FF,35,False,0,171,False
T,767,217,#FF8C00,35,False,90,20,True
T,259,380,#0064FF,15,True,90,193,False
Q,700,406,#FF8C00,15,True,0,198,False
Q,404,511,#0064FF,15,True,270,194,False
L,359,67,#FF8C00,15,True,180,24,True
T,882,70,#0064FF,35,False,270,151,False
T,833,743,#FF8C00,35,False,0,167,False
Q,59,659,#FF8C00,15,True,0,202,False
Q,142,678,#FF8C00,15,True,0,194,False
T,781,453,#FF8C00,15,True,90,199,False
Q,928,695,#FF8C00,35,False,90,196,False
T,223,143,#0064FF,15,True,270,173,False
O,365,157,#0064FF,15,True,0,7,True
L,520,325,#0064FF,15,True,270,194,False
O,278,665,#FF8C00,35,False,0,166,False
O,717,262,#FF8C00,15,True,90,23,True
O,299,197,#0064FF,15,True,270,38,True
