shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark,ist_fehler,bekommt_kreis
O,1137,808,#0064FF,60,False,180,85,True,False,False
Q,368,385,#0064FF,60,False,0,166,False,False,False
T,1335,558,#0064FF,30,True,0,188,False,False,False
L,1280,204,#0064FF,30,True,90,192,False,True,True
Q,1381,831,#FF8C00,60,False,180,76,True,False,False
Q,176,95,#FF8C00,30,True,180,67,True,False,False
Q,144,234,#FF8C00,30,True,90,155,False,False,False
T,596,854,#0064FF,30,True,90,194,False,False,False
Q,602,693,#FF8C00,30,True,0,130,False,False,False
Q,562,154,#FF8C00,60,False,90,144,False,False,False
T,1153,907,#0064FF,60,False,90,159,False,False,False
T,212,519,#0064FF,30,True,180,142,False,False,False
O,914,782,#FF8C00,60,False,270,37,True,True,True
Q,840,268,#0064FF,60,False,0,97,True,False,False
Q,1595,867,#FF8C00,30,True,90,199,False,False,True
T,187,866,#0064FF,60,False,180,181,False,False,False
O,1661,296,#FF8C00,60,False,90,41,True,True,True
Q,395,890,#FF8C00,60,False,180,199,False,False,False
T,919,563,#FF8C00,60,False,0,199,False,False,False
Q,805,541,#FF8C00,60,False,90,185,False,False,False
T,540,593,#0064FF,60,False,270,179,False,False,False
L,986,328,#0064FF,60,False,0,87,True,True,True
T,981,842,#FF8C00,60,False,270,75,True,False,False
T,1693,112,#0064FF,30,True,180,188,False,False,False
T,1510,872,#0064FF,60,False,0,158,False,False,False
Q,1545,610,#FF8C00,60,False,180,198,False,False,False
Q,492,307,#0064FF,30,True,90,174,False,False,False
T,1246,331,#0064FF,30,True,180,166,False,False,False
T,1729,478,#0064FF,30,True,90,71,True,False,False
L,755,110,#0064FF,60,False,180,65,True,True,True
Q,1075,92,#FF8C00,30,True,180,201,False,False,False
Q,271,212,#FF8C00,60,False,0,136,False,False,False
T,1808,302,#FF8C00,30,True,90,138,False,False,False
T,1181,738,#0064FF,60,False,270,106,True,False,False
O,860,142,#0064FF,30,True,270,92,True,False,False
O,1349,936,#FF8C00,30,True,270,85,True,True,True
Q,1031,247,#0064FF,30,True,90,172,False,False,False
T,644,389,#FF8C00,30,True,270,194,False,False,False
Q,856,702,#FF8C00,60,False,270,166,False,False,False
T,1506,266,#0064FF,60,False,0,171,False,False,False
Q,974,694,#0064FF,30,True,180,111,True,False,False
L,981,461,#FF8C00,30,True,90,80,True,False,False
O,1690,371,#FF8C00,30,True,180,82,True,True,True
Q,431,613,#FF8C00,30,True,180,184,False,False,False
Q,164,954,#FF8C00,60,False,270,134,False,False,False
T,570,255,#0064FF,60,False,180,144,False,False,False
Q,1751,685,#FF8C00,30,True,270,142,False,False,False
Q,1375,463,#0064FF,60,False,90,98,True,False,True
O,1277,788,#FF8C00,60,False,90,86,True,True,True
L,246,387,#0064FF,30,True,0,77,True,True,False
T,867,980,#FF8C00,60,False,0,168,False,False,False
Q,1665,768,#0064FF,30,True,90,194,False,False,False
Q,1495,404,#FF8C00,30,True,270,63,True,False,False
Q,864,371,#0064FF,30,True,90,148,False,False,False
T,837,872,#0064FF,30,True,270,93,True,False,False
Q,1791,222,#FF8C00,60,False,180,168,False,False,False
T,1223,865,#0064FF,30,True,90,145,False,False,False
O,1833,504,#0064FF,60,False,0,89,True,False,False
T,288,479,#0064FF,30,True,90,117,True,False,False
Q,1037,605,#FF8C00,30,True,90,144,False,False,False
T,339,588,#0064FF,60,False,0,192,False,False,False
L,772,212,#FF8C00,30,True,180,86,True,False,True
O,1436,912,#FF8C00,30,True,270,58,True,True,True
L,1580,394,#0064FF,60,False,90,58,True,True,False
L,1291,419,#0064FF,60,False,90,67,True,True,True
Q,1161,631,#0064FF,30,True,90,194,False,False,False
T,1492,88,#0064FF,30,True,0,174,False,False,False
Q,762,744,#FF8C00,60,False,270,158,False,False,False
O,1744,565,#FF8C00,30,True,180,73,True,True,False
L,580,934,#0064FF,30,True,90,188,False,True,False
T,659,794,#0064FF,60,False,180,189,False,False,False
T,333,141,#FF8C00,30,True,90,161,False,False,False
Q,948,213,#FF8C00,60,False,180,151,False,False,False
T,1194,538,#FF8C00,30,True,90,194,False,False,False
T,1785,809,#0064FF,30,True,0,100,True,False,False
T,1816,926,#FF8C00,60,False,90,123,False,False,False
Q,82,656,#FF8C00,60,False,180,145,False,False,True
T,137,455,#0064FF,60,False,0,113,True,False,False
L,1416,355,#FF8C00,60,False,270,138,False,False,False
T,107,896,#FF8C00,60,False,0,89,True,False,False
