shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark,ist_fehler,bekommt_kreis
T,1754,815,#0064FF,60,False,270,188,False,False,False
O,1562,410,#FF8C00,30,True,0,35,True,True,True
T,1826,694,#FF8C00,60,False,0,194,False,False,True
L,156,141,#FF8C00,60,False,0,73,True,False,False
Q,827,270,#FF8C00,60,False,90,198,False,False,False
T,1020,797,#FF8C00,30,True,270,168,False,False,False
L,87,938,#0064FF,30,True,270,86,True,True,False
Q,1177,912,#FF8C00,30,True,270,76,True,False,False
T,1763,115,#0064FF,30,True,180,200,False,False,False
L,1336,513,#0064FF,30,True,0,89,True,True,False
T,263,958,#0064FF,60,False,270,150,False,False,False
Q,1658,870,#FF8C00,30,True,90,173,False,False,False
T,1121,577,#0064FF,60,False,90,181,False,False,False
T,685,354,#0064FF,60,False,90,145,False,False,False
T,1735,501,#0064FF,30,True,0,188,False,False,False
T,1415,932,#FF8C00,60,False,0,194,False,False,False
Q,1064,877,#0064FF,60,False,180,65,True,False,False
Q,1732,283,#FF8C00,30,True,270,126,False,False,False
Q,1652,955,#FF8C00,60,False,270,158,False,False,False
Q,381,638,#0064FF,60,False,180,192,False,False,False
L,771,906,#0064FF,60,False,0,70,True,True,True
O,1700,376,#FF8C00,60,False,270,99,True,True,True
O,136,229,#0064FF,60,False,90,89,True,False,False
O,178,934,#0064FF,30,True,270,66,True,False,False
T,858,383,#0064FF,30,True,180,194,False,False,False
T,237,432,#0064FF,30,True,180,111,True,False,False
Q,96,795,#FF8C00,30,True,270,156,False,False,False
T,957,124,#0064FF,60,False,90,67,True,False,False
Q,217,792,#FF8C00,30,True,0,194,False,False,False
Q,1537,275,#FF8C00,30,True,180,114,True,False,False
T,1303,829,#0064FF,60,False,0,107,True,False,False
Q,1004,612,#0064FF,60,False,270,142,False,False,False
Q,127,572,#0064FF,60,False,180,73,True,False,False
T,802,460,#FF8C00,60,False,270,196,False,False,False
O,1521,147,#FF8C00,60,False,90,92,True,True,True
Q,1454,556,#0064FF,60,False,0,125,False,False,False
T,1177,216,#0064FF,30,True,90,130,False,False,False
Q,618,425,#0064FF,30,True,180,170,False,False,False
Q,436,519,#0064FF,30,True,0,194,False,False,False
L,1468,357,#0064FF,30,True,270,53,True,True,True
Q,1092,292,#FF8C00,30,True,90,177,False,False,False
Q,1330,179,#FF8C00,60,False,180,177,False,False,False
Q,357,246,#FF8C00,60,False,270,193,False,False,False
Q,237,129,#FF8C00,30,True,0,103,True,False,False
L,569,207,#0064FF,60,False,180,94,True,True,True
Q,774,353,#FF8C00,60,False,90,192,False,False,False
T,771,572,#FF8C00,60,False,270,182,False,False,True
T,391,159,#FF8C00,60,False,0,121,False,False,False
Q,1680,189,#FF8C00,30,True,180,142,False,False,False
Q,971,897,#FF8C00,30,True,270,142,False,False,False
Q,754,137,#FF8C00,60,False,90,186,False,False,False
Q,857,942,#0064FF,60,False,270,186,False,False,False
Q,478,726,#FF8C00,60,False,90,194,False,False,True
T,1525,504,#FF8C00,30,True,0,116,True,False,False
T,602,800,#0064FF,30,True,90,201,False,False,False
T,1552,712,#0064FF,30,True,0,148,False,False,False
T,715,730,#0064FF,30,True,0,117,True,False,False
L,1173,775,#0064FF,60,False,90,74,True,True,True
Q,141,336,#FF8C00,60,False,90,154,False,False,False
O,1602,481,#0064FF,30,True,270,89,True,False,False
Q,1334,419,#FF8C00,30,True,0,100,True,False,False
O,1363,770,#FF8C00,30,True,0,89,True,True,True
Q,1056,493,#0064FF,30,True,90,123,False,False,False
T,911,298,#FF8C00,30,True,90,201,False,False,False
T,973,699,#0064FF,30,True,90,194,False,False,False
O,747,821,#FF8C00,60,False,0,43,True,True,False
T,623,696,#0064FF,60,False,270,181,False,False,False
T,1042,104,#0064FF,30,True,0,111,True,False,False
L,500,266,#FF8C00,30,True,0,92,True,False,False
Q,1166,325,#FF8C00,30,True,90,194,False,False,False
O,670,988,#FF8C00,60,False,180,80,True,True,True
L,1065,212,#FF8C00,60,False,180,77,True,False,False
T,1771,986,#0064FF,30,True,180,185,False,False,False
T,1562,975,#0064FF,60,False,90,124,False,False,True
T,330,522,#FF8C00,60,False,90,165,False,False,False
L,877,87,#0064FF,30,True,90,89,True,True,False
Q,1241,491,#FF8C00,60,False,270,181,False,False,False
T,968,512,#0064FF,60,False,0,119,True,False,False
T,680,201,#0064FF,30,True,270,145,False,False,False
O,950,420,#FF8C00,30,True,0,189,False,True,True
