shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark,ist_fehler,bekommt_kreis
T,1479,618,#0064FF,60,False,270,194,False,False,False
O,1464,966,#FF8C00,30,True,90,127,False,True,True
O,884,724,#FF8C00,30,True,0,85,True,True,True
T,1059,892,#0064FF,30,True,180,201,False,False,False
Q,644,132,#FF8C00,30,True,270,123,False,False,False
Q,1561,573,#0064FF,60,False,270,147,False,False,False
T,702,203,#0064FF,60,False,180,164,False,False,False
T,987,667,#0064FF,60,False,90,134,False,False,False
Q,431,377,#FF8C00,30,True,0,178,False,False,False
O,171,952,#FF8C00,60,False,0,93,True,True,False
T,972,438,#0064FF,60,False,180,96,True,False,False
T,587,257,#0064FF,30,True,90,184,False,False,False
T,759,522,#FF8C00,30,True,180,76,True,False,False
Q,1594,312,#FF8C00,60,False,270,80,True,False,False
L,1276,598,#0064FF,30,True,180,92,True,True,False
Q,1084,266,#0064FF,30,True,270,142,False,False,False
T,1758,460,#FF8C00,30,True,180,97,True,False,False
Q,302,497,#FF8C00,60,False,90,192,False,False,False
T,1113,822,#0064FF,30,True,270,170,False,False,False
O,594,508,#FF8C00,60,False,180,89,True,True,True
T,220,345,#0064FF,60,False,180,153,False,False,False
Q,1234,725,#0064FF,60,False,180,140,False,False,False
Q,134,80,#FF8C00,30,True,90,142,False,False,False
T,1392,836,#FF8C00,30,True,180,193,False,False,False
O,1129,561,#0064FF,30,True,90,73,True,False,False
L,1730,761,#0064FF,60,False,180,77,True,True,False
T,1701,926,#0064FF,60,False,270,196,False,False,False
L,796,663,#FF8C00,60,False,90,82,True,False,False
O,1818,696,#FF8C00,30,True,0,67,True,True,True
T,1592,227,#FF8C00,30,True,90,136,False,False,False
Q,892,132,#0064FF,30,True,270,181,False,False,False
O,865,538,#FF8C00,30,True,0,43,True,True,True
Q,810,357,#FF8C00,30,True,270,172,False,False,False
Q,1117,740,#FF8C00,30,True,90,156,False,False,True
T,509,738,#0064FF,60,False,90,161,False,False,False
T,920,958,#0064FF,30,True,180,197,False,False,False
T,805,965,#0064FF,30,True,180,180,False,False,False
Q,517,929,#FF8C00,60,False,0,155,False,False,False
T,1321,485,#0064FF,60,False,0,147,False,False,False
T,1627,88,#0064FF,30,True,90,187,False,False,False
T,1791,229,#0064FF,60,False,180,148,False,False,False
L,413,258,#FF8C00,60,False,180,164,False,False,False
Q,1674,835,#0064FF,60,False,270,80,True,False,False
L,1649,511,#0064FF,30,True,0,68,True,True,True
T,1210,383,#0064FF,30,True,0,194,False,False,False
O,195,134,#0064FF,60,False,0,60,True,False,False
Q,611,772,#0064FF,60,False,0,136,False,False,False
L,1182,482,#0064FF,30,True,180,93,True,True,True
T,458,556,#FF8C00,60,False,0,161,False,False,False
T,418,686,#FF8C00,30,True,270,180,False,False,False
Q,376,970,#FF8C00,60,False,270,184,False,False,True
T,1712,100,#0064FF,60,False,90,166,False,False,False
Q,1320,175,#0064FF,60,False,90,147,False,False,False
T,1443,311,#FF8C00,30,True,180,184,False,False,False
T,721,919,#FF8C00,30,True,90,181,False,False,False
Q,108,812,#FF8C00,30,True,180,161,False,False,False
Q,180,850,#0064FF,30,True,0,201,False,False,False
T,996,529,#0064FF,60,False,90,144,False,False,False
Q,224,600,#FF8C00,60,False,90,184,False,False,False
Q,1013,809,#FF8C00,60,False,270,180,False,False,False
Q,701,799,#FF8C00,30,True,270,161,False,False,False
L,889,436,#0064FF,60,False,180,71,True,True,False
T,1513,775,#0064FF,30,True,90,187,False,False,False
Q,464,103,#FF8C00,30,True,90,185,False,False,False
Q,677,999,#FF8C00,60,False,180,180,False,False,False
Q,1803,113,#FF8C00,30,True,180,165,False,False,False
Q,89,922,#0064FF,30,True,180,154,False,False,True
T,694,390,#0064FF,60,False,90,151,False,False,False
L,1684,385,#0064FF,60,False,0,76,True,True,True
L,1548,418,#0064FF,30,True,270,85,True,True,True
L,106,219,#FF8C00,30,True,90,77,True,False,False
Q,1103,366,#FF8C00,30,True,90,189,False,False,False
T,987,196,#FF8C00,60,False,180,164,False,False,False
O,1184,626,#FF8C00,60,False,0,84,True,True,True
Q,1128,187,#FF8C00,60,False,180,200,False,False,True
Q,811,875,#FF8C00,30,True,270,171,False,False,False
O,557,406,#0064FF,60,False,270,87,True,False,False
Q,121,348,#FF8C00,60,False,0,180,False,False,False
T,789,761,#0064FF,60,False,180,134,False,False,False
Q,1440,200,#FF8C00,60,False,270,177,False,False,False
