shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark,ist_fehler,bekommt_kreis
Q,1318,709,#0064FF,30,True,270,167,False,False,False
T,1731,179,#0064FF,30,True,180,125,False,False,False
Q,954,157,#0064FF,30,True,270,138,False,False,False
T,695,722,#FF8C00,30,True,90,185,False,False,False
O,199,111,#FF8C00,30,True,180,84,True,True,True
Q,869,726,#0064FF,30,True,0,135,False,False,False
Q,1570,104,#FF8C00,30,True,0,163,False,False,False
L,1704,102,#0064FF,60,False,270,86,True,True,False
T,1247,573,#0064FF,30,True,270,60,True,False,False
L,1749,763,#FF8C00,30,True,90,71,True,False,False
L,655,893,#0064FF,60,False,90,89,True,True,False
Q,1798,390,#FF8C00,30,True,270,181,False,False,True
T,1563,765,#0064FF,60,False,0,121,False,False,False
T,261,201,#0064FF,60,False,180,130,False,False,False
T,262,777,#0064FF,60,False,90,194,False,False,False
Q,1631,686,#FF8C00,30,True,180,164,False,False,False
T,746,235,#FF8C00,60,False,0,194,False,False,False
O,1029,284,#FF8C00,30,True,90,83,True,True,True
Q,669,373,#FF8C00,30,True,90,127,False,False,False
Q,1630,983,#FF8C00,60,False,90,178,False,False,False
Q,1367,199,#0064FF,60,False,0,164,False,False,False
Q,651,519,#FF8C00,30,True,90,194,False,False,False
T,1771,561,#0064FF,30,True,180,168,False,False,False
T,647,183,#0064FF,30,True,90,196,False,False,True
L,91,701,#0064FF,30,True,270,82,True,True,True
L,1183,510,#FF8C00,60,False,0,73,True,False,False
Q,333,385,#FF8C00,60,False,180,170,False,False,False
L,257,339,#0064FF,30,True,270,166,False,True,True
Q,1215,367,#FF8C00,30,True,180,180,False,False,False
Q,609,634,#FF8C00,60,False,180,189,False,False,False
O,1073,907,#0064FF,60,False,270,89,True,False,False
O,986,905,#FF8C00,30,True,0,93,True,True,False
T,1444,168,#FF8C00,30,True,270,193,False,False,False
L,92,182,#0064FF,60,False,270,84,True,True,True
Q,1132,745,#0064FF,30,True,180,194,False,False,False
T,434,734,#FF8C00,30,True,0,120,True,False,False
T,342,285,#FF8C00,60,False,0,172,False,False,True
Q,841,991,#0064FF,60,False,180,168,False,False,False
T,1380,115,#0064FF,30,True,0,196,False,False,False
Q,1554,914,#0064FF,30,True,270,184,False,False,False
Q,1428,503,#FF8C00,30,True,270,120,True,False,False
T,932,988,#0064FF,60,False,270,121,False,False,False
T,454,909,#FF8C00,60,False,180,132,False,False,False
T,1116,292,#0064FF,60,False,0,126,False,False,False
Q,1467,363,#FF8C00,30,True,270,125,False,False,False
Q,1015,560,#FF8C00,60,False,90,193,False,False,False
O,1714,288,#FF8C00,60,False,270,159,False,True,False
T,1389,866,#0064FF,30,True,0,201,False,False,False
T,574,119,#0064FF,60,False,90,158,False,False,False
Q,535,385,#FF8C00,60,False,90,194,False,False,False
L,1680,828,#FF8C00,30,True,90,76,True,False,False
Q,760,846,#FF8C00,60,False,90,160,False,False,False
T,1536,608,#0064FF,30,True,180,202,False,False,False
Q,562,484,#0064FF,60,False,0,192,False,False,False
T,207,707,#0064FF,60,False,180,129,False,False,False
Q,318,859,#FF8C00,60,False,90,194,False,False,False
Q,1256,656,#FF8C00,30,True,270,155,False,False,False
L,1839,946,#0064FF,60,False,0,142,False,True,True
Q,995,689,#FF8C00,30,True,180,181,False,False,False
Q,1436,653,#FF8C00,60,False,180,119,True,False,False
T,1109,985,#0064FF,60,False,90,179,False,False,False
T,518,706,#0064FF,60,False,0,170,False,False,False
T,916,641,#FF8C00,30,True,0,145,False,False,False
Q,605,779,#FF8C00,60,False,0,148,False,False,False
O,931,370,#0064FF,60,False,0,153,False,False,False
T,1022,771,#0064FF,30,True,0,187,False,False,True
T,1068,627,#0064FF,30,True,90,184,False,False,False
O,1123,173,#FF8C00,30,True,270,92,True,True,True
O,1348,577,#FF8C00,30,True,90,50,True,True,True
Q,718,143,#FF8C00,60,False,180,194,False,False,False
Q,1814,700,#FF8C00,60,False,270,99,True,False,False
T,179,927,#FF8C00,60,False,90,198,False,False,False
O,466,169,#0064FF,60,False,270,71,True,False,False
T,318,682,#0064FF,30,True,270,146,False,False,False
Q,1698,911,#0064FF,60,False,270,181,False,False,False
T,877,128,#FF8C00,60,False,90,132,False,False,False
T,831,584,#0064FF,30,True,0,189,False,False,False
O,94,611,#FF8C00,60,False,180,73,True,True,True
L,1279,486,#0064FF,30,True,270,74,True,True,True
T,885,813,#0064FF,60,False,90,155,False,False,False
