shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
L,632,453,#FF8C00,35,False,180,0,True
L,1480,424,#FF8C00,15,True,270,0,True
L,727,1024,#FF8C00,35,False,270,7,True
L,1147,957,#0064FF,15,True,180,0,True
O,1558,452,#FF8C00,15,True,270,5,True
Q,725,151,#0064FF,35,False,270,184,False
T,1357,63,#0064FF,15,True,90,184,False
Q,273,264,#0064FF,35,False,180,192,False
T,311,620,#FF8C00,35,False,0,189,False
O,1177,834,#FF8C00,15,True,0,14,True
Q,522,873,#0064FF,15,True,180,194,False
T,1065,98,#0064FF,35,False,180,194,False
L,428,492,#0064FF,35,False,270,182,False
Q,357,224,#FF8C00,35,False,180,194,False
Q,211,910,#FF8C00,15,True,270,191,False
Q,1859,905,#FF8C00,15,True,270,174,False
Q,487,720,#FF8C00,15,True,90,188,False
O,551,390,#0064FF,35,False,180,7,True
T,1189,920,#0064FF,35,False,90,0,True
T,294,865,#FF8C00,35,False,0,196,False
L,634,382,#0064FF,15,True,270,0,True
O,553,465,#FF8C00,35,False,90,29,True
T,735,759,#FF8C00,15,True,90,186,False
Q,1378,580,#FF8C00,15,True,90,193,False
T,1025,180,#0064FF,15,True,0,200,False
Q,643,745,#0064FF,15,True,180,193,False
T,859,168,#FF8C00,35,False,270,200,False
Q,107,411,#FF8C00,35,False,0,181,False
Q,881,864,#0064FF,35,False,180,182,False
T,1523,196,#FF8C00,15,True,270,192,False
T,1561,575,#0064FF,15,True,180,178,False
T,651,275,#0064FF,15,True,0,171,False
Q,113,769,#FF8C00,35,False,180,198,False
O,583,348,#0064FF,15,True,270,26,True
T,1852,55,#0064FF,35,False,0,187,False
Q,1750,1002,#0064FF,35,False,0,185,False
T,509,427,#FF8C00,15,True,270,18,True
O,787,1023,#0064FF,35,False,90,45,True
T,1303,529,#FF8C00,35,False,0,194,False
Q,1431,543,#0064FF,15,True,0,193,False
