shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
L,185,278,#0064FF,15,True,0,0,True
L,808,329,#FF8C00,35,False,270,21,True
O,226,633,#FF8C00,35,False,0,3,True
L,563,605,#0064FF,35,False,90,17,True
T,433,597,#0064FF,35,False,270,194,False
Q,572,295,#0064FF,15,True,90,199,False
O,525,144,#FF8C00,15,True,90,194,False
T,684,556,#0064FF,35,False,0,0,True
O,234,554,#FF8C00,35,False,180,3,True
Q,703,614,#0064FF,35,False,180,3,True
Q,149,691,#FF8C00,35,False,270,175,False
T,493,434,#0064FF,15,True,0,191,False
L,292,543,#FF8C00,15,True,90,0,True
L,272,600,#FF8C00,15,True,270,0,True
T,354,406,#FF8C00,35,False,180,187,False
Q,209,186,#FF8C00,35,False,270,0,True
O,548,685,#0064FF,15,True,270,156,False
T,617,373,#FF8C00,15,True,270,194,False
O,628,623,#0064FF,15,True,270,0,True
O,795,242,#FF8C00,15,True,0,21,True
L,790,188,#0064FF,35,False,270,15,True
O,716,198,#0064FF,35,False,0,180,False
Q,254,384,#0064FF,15,True,180,178,False
T,667,209,#FF8C00,15,True,90,197,False
