shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
L,377,222,#FF8C00,15,True,180,0,True
O,781,284,#FF8C00,15,True,90,0,True
L,87,462,#FF8C00,35,False,0,0,True
O,691,588,#0064FF,35,False,0,0,True
T,650,678,#0064FF,15,True,90,10,True
T,923,314,#0064FF,15,True,270,194,False
T,229,600,#0064FF,15,True,90,154,False
T,463,334,#FF8C00,15,True,90,181,False
T,200,368,#FF8C00,35,False,0,192,False
Q,725,94,#0064FF,15,True,270,202,False
T,212,693,#0064FF,35,False,180,187,False
O,117,567,#0064FF,35,False,180,0,True
T,538,226,#FF8C00,15,True,90,196,False
Q,895,552,#0064FF,15,True,90,188,False
Q,623,195,#FF8C00,35,False,0,173,False
Q,890,720,#FF8C00,15,True,270,199,False
T,120,324,#0064FF,35,False,270,194,False
T,556,520,#0064FF,35,False,180,188,False
Q,822,550,#0064FF,15,True,180,185,False
T,842,384,#0064FF,35,False,180,194,False
T,267,89,#FF8C00,35,False,180,193,False
T,74,250,#0064FF,35,False,0,201,False
L,679,232,#0064FF,35,False,180,83,True
T,851,55,#0064FF,35,False,180,194,False
T,473,279,#0064FF,35,False,0,168,False
Q,502,614,#FF8C00,35,False,270,197,False
T,761,375,#FF8C00,15,True,180,161,False
T,311,507,#FF8C00,35,False,270,202,False
Q,423,461,#0064FF,35,False,180,197,False
Q,938,626,#0064FF,15,True,90,194,False
Q,326,451,#FF8C00,15,True,270,199,False
T,181,302,#0064FF,15,True,90,196,False
Q,710,720,#FF8C00,15,True,90,5,True
Q,750,605,#FF8C00,15,True,270,41,True
Q,477,485,#FF8C00,15,True,0,194,False
Q,484,144,#0064FF,15,True,270,192,False
T,106,202,#0064FF,15,True,180,200,False
T,803,420,#0064FF,35,False,180,201,False
T,457,408,#FF8C00,15,True,0,193,False
Q,227,155,#0064FF,35,False,270,199,False
T,542,116,#FF8C00,35,False,270,194,False
Q,764,462,#FF8C00,15,True,180,201,False
Q,257,220,#0064FF,35,False,0,172,False
T,310,246,#0064FF,35,False,90,47,True
Q,663,291,#0064FF,15,True,90,101,False
T,554,700,#FF8C00,35,False,0,193,False
T,177,116,#FF8C00,15,True,180,200,False
Q,91,517,#FF8C00,15,True,0,3,True
L,133,615,#FF8C00,15,True,0,7,True
Q,628,748,#0064FF,35,False,0,159,False
T,661,413,#0064FF,15,True,180,188,False
Q,845,108,#FF8C00,35,False,270,198,False
Q,450,190,#FF8C00,35,False,90,103,False
Q,888,410,#0064FF,15,True,0,194,False
O,259,398,#0064FF,15,True,0,201,False
T,368,662,#0064FF,15,True,0,194,False
T,791,51,#FF8C00,35,False,180,194,False
Q,283,609,#0064FF,35,False,180,188,False
L,242,525,#0064FF,35,False,0,180,False
T,917,231,#FF8C00,15,True,270,201,False
Q,751,680,#0064FF,15,True,90,21,True
T,507,550,#FF8C00,15,True,180,194,False
T,684,482,#FF8C00,35,False,180,172,False
Q,948,541,#0064FF,35,False,180,193,False
T,328,107,#0064FF,15,True,0,168,False
Q,99,112,#0064FF,35,False,90,198,False
Q,884,140,#FF8C00,15,True,90,200,False
Q,746,522,#FF8C00,35,False,180,142,False
T,252,282,#FF8C00,35,False,90,163,False
Q,575,161,#0064FF,35,False,0,194,False
Q,934,677,#0064FF,15,True,180,197,False
Q,463,712,#FF8C00,35,False,180,196,False
Q,808,616,#FF8C00,35,False,270,151,False
T,566,309,#FF8C00,15,True,180,194,False
Q,382,596,#FF8C00,35,False,0,194,False
O,548,411,#FF8C00,35,False,90,196,False
Q,884,608,#FF8C00,35,False,180,192,False
T,193,435,#0064FF,15,True,0,166,False
T,816,475,#FF8C00,15,True,90,194,False
Q,748,234,#FF8C00,15,True,180,0,True
