shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
L,50,200,#0064FF,15,True,270,0,True
O,914,78,#FF8C00,15,True,0,14,True
O,334,538,#FF8C00,35,False,0,0,True
L,650,585,#0064FF,35,False,180,0,True
T,345,680,#0064FF,35,False,0,151,False
Q,359,67,#FF8C00,15,True,0,189,False
L,828,53,#0064FF,35,False,180,31,True
T,296,691,#0064FF,15,True,0,184,False
T,461,528,#0064FF,15,True,180,152,False
T,752,747,#0064FF,35,False,270,194,False
T,629,293,#0064FF,35,False,180,194,False
Q,115,713,#FF8C00,15,True,0,197,False
O,783,516,#FF8C00,15,True,180,0,True
T,476,460,#0064FF,35,False,270,192,False
Q,690,102,#FF8C00,15,True,180,191,False
Q,377,397,#FF8C00,15,True,90,189,False
T,239,489,#0064FF,15,True,270,156,False
L,348,622,#0064FF,15,True,270,36,True
T,438,689,#0064FF,35,False,180,199,False
Q,613,737,#FF8C00,15,True,90,200,False
Q,179,683,#FF8C00,35,False,180,194,False
L,723,619,#0064FF,35,False,0,5,True
Q,368,138,#FF8C00,15,True,180,196,False
Q,925,733,#FF8C00,35,False,180,192,False
Q,387,253,#FF8C00,15,True,270,194,False
T,798,340,#0064FF,15,True,0,194,False
T,284,170,#0064FF,15,True,180,194,False
Q,244,94,#FF8C00,35,False,0,194,False
Q,940,576,#FF8C00,35,False,270,189,False
Q,880,450,#FF8C00,15,True,90,187,False
Q,733,226,#FF8C00,35,False,270,161,False
Q,894,612,#FF8C00,35,False,180,173,False
T,413,165,#0064FF,35,False,270,196,False
T,57,485,#0064FF,15,True,0,194,False
T,139,495,#0064FF,35,False,180,184,False
Q,622,376,#FF8C00,35,False,270,194,False
T,342,281,#0064FF,15,True,180,196,False
T,667,449,#0064FF,15,True,0,180,False
O,874,349,#FF8C00,35,False,90,199,False
Q,701,269,#FF8C00,35,False,0,200,False
