shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
L,328,133,#0064FF,15,True,90,3,True
O,908,179,#0064FF,35,False,270,0,True
O,419,721,#FF8C00,15,True,270,10,True
L,906,584,#FF8C00,15,True,180,0,True
T,624,282,#FF8C00,15,True,270,194,False
Q,438,469,#0064FF,15,True,270,200,False
O,840,667,#0064FF,35,False,90,5,True
O,882,229,#0064FF,35,False,270,24,True
T,565,282,#FF8C00,35,False,270,194,False
T,213,727,#FF8C00,15,True,180,194,False
T,332,401,#0064FF,35,False,0,200,False
L,343,729,#FF8C00,35,False,0,37,True
T,743,500,#0064FF,35,False,0,189,False
L,902,470,#0064FF,35,False,0,175,False
T,461,574,#0064FF,35,False,180,194,False
T,778,271,#FF8C00,15,True,270,191,False
Q,717,436,#FF8C00,35,False,90,194,False
Q,608,557,#0064FF,35,False,90,196,False
Q,670,149,#FF8C00,35,False,270,200,False
Q,52,540,#FF8C00,35,False,90,194,False
T,591,708,#0064FF,35,False,270,194,False
O,903,109,#FF8C00,15,True,0,43,True
Q,663,711,#0064FF,15,True,90,194,False
Q,763,547,#FF8C00,15,True,270,146,False
Q,268,278,#0064FF,35,False,0,175,False
L,769,653,#FF8C00,35,False,270,21,True
Q,697,261,#0064FF,15,True,270,194,False
T,813,70,#0064FF,15,True,0,193,False
Q,407,611,#FF8C00,15,True,0,174,False
T,238,443,#FF8C00,15,True,0,199,False
Q,335,189,#FF8C00,15,True,180,0,True
T,947,691,#0064FF,15,True,90,163,False
