shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
O,368,337,#FF8C00,15,True,180,15,True
L,617,175,#0064FF,15,True,0,19,True
L,329,697,#0064FF,35,False,90,0,True
O,740,497,#FF8C00,15,True,270,19,True
T,940,583,#0064FF,15,True,0,191,False
Q,485,586,#FF8C00,35,False,0,177,False
T,214,242,#0064FF,15,True,270,184,False
T,222,296,#0064FF,35,False,180,197,False
Q,50,326,#FF8C00,35,False,0,196,False
O,687,543,#FF8C00,35,False,270,3,True
T,56,556,#0064FF,15,True,180,194,False
Q,596,434,#FF8C00,15,True,270,194,False
Q,493,224,#FF8C00,35,False,0,186,False
T,191,708,#0064FF,15,True,270,194,False
L,730,240,#0064FF,35,False,90,1,True
Q,759,155,#FF8C00,35,False,180,184,False
T,530,117,#0064FF,35,False,180,168,False
T,542,591,#0064FF,35,False,0,177,False
O,384,708,#FF8C00,15,True,90,0,True
T,553,369,#0064FF,35,False,270,186,False
Q,705,100,#FF8C00,15,True,90,193,False
Q,799,428,#FF8C00,15,True,180,178,False
L,400,580,#0064FF,35,False,180,43,True
L,641,596,#0064FF,15,True,270,7,True
Q,881,369,#FF8C00,35,False,90,201,False
T,399,437,#0064FF,15,True,90,181,False
T,892,465,#0064FF,15,True,180,194,False
Q,790,313,#FF8C00,15,True,0,151,False
Q,167,327,#FF8C00,15,True,0,194,False
Q,497,710,#FF8C00,35,False,270,180,False
T,555,741,#0064FF,35,False,90,181,False
T,468,286,#0064FF,15,True,180,151,False
Q,167,487,#FF8C00,35,False,0,194,False
T,84,388,#0064FF,35,False,0,198,False
T,448,538,#0064FF,35,False,180,166,False
O,412,641,#FF8C00,35,False,180,3,True
O,500,329,#FF8C00,35,False,0,191,False
Q,786,665,#FF8C00,15,True,90,194,False
Q,616,51,#FF8C00,15,True,180,194,False
T,118,447,#0064FF,15,True,0,199,False
