shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
O,389,101,#0064FF,15,True,0,0,True
L,819,246,#0064FF,15,True,270,1,True
L,297,637,#0064FF,15,True,270,7,True
O,877,487,#FF8C00,35,False,180,38,True
T,148,320,#0064FF,35,False,180,191,False
Q,788,414,#0064FF,15,True,180,177,False
T,499,410,#0064FF,15,True,270,200,False
Q,666,692,#FF8C00,35,False,270,192,False
T,524,460,#0064FF,35,False,180,201,False
Q,944,749,#FF8C00,15,True,0,194,False
Q,263,161,#0064FF,35,False,90,168,False
T,526,359,#FF8C00,15,True,0,202,False
T,91,597,#0064FF,15,True,0,198,False
T,153,708,#FF8C00,35,False,0,175,False
T,769,88,#0064FF,35,False,270,194,False
Q,377,243,#0064FF,35,False,270,188,False
Q,394,368,#0064FF,15,True,270,194,False
T,201,446,#FF8C00,35,False,90,194,False
T,58,79,#0064FF,15,True,270,193,False
Q,684,638,#0064FF,15,True,0,188,False
Q,443,276,#0064FF,15,True,0,194,False
Q,152,482,#0064FF,15,True,180,199,False
Q,739,381,#0064FF,35,False,0,194,False
Q,942,452,#FF8C00,35,False,180,168,False
L,233,251,#FF8C00,35,False,0,189,False
T,651,463,#0064FF,35,False,180,189,False
Q,348,496,#0064FF,35,False,90,185,False
T,152,619,#0064FF,15,True,0,147,False
T,681,503,#FF8C00,35,False,90,159,False
T,663,52,#FF8C00,15,True,0,201,False
T,902,700,#FF8C00,15,True,270,201,False
Q,909,378,#0064FF,15,True,0,171,False
T,429,713,#FF8C00,15,True,0,191,False
T,799,148,#0064FF,35,False,0,155,False
Q,62,245,#FF8C00,15,True,270,201,False
Q,570,185,#FF8C00,35,False,90,179,False
Q,556,307,#FF8C00,15,True,270,194,False
T,634,749,#FF8C00,35,False,90,185,False
Q,646,109,#FF8C00,15,True,90,189,False
Q,300,79,#0064FF,35,False,0,10,True
T,670,320,#FF8C00,15,True,90,192,False
Q,872,160,#FF8C00,15,True,0,158,False
T,841,64,#0064FF,35,False,180,200,False
Q,772,637,#FF8C00,35,False,180,178,False
T,582,654,#FF8C00,15,True,270,188,False
T,656,246,#FF8C00,35,False,0,127,False
Q,687,154,#0064FF,15,True,90,151,False
Q,621,405,#FF8C00,15,True,90,192,False
T,557,701,#0064FF,15,True,90,189,False
T,541,539,#0064FF,35,False,90,194,False
Q,85,400,#FF8C00,35,False,180,194,False
T,443,169,#0064FF,35,False,180,161,False
Q,579,243,#0064FF,35,False,0,198,False
T,314,251,#FF8C00,15,True,90,187,False
T,781,541,#0064FF,35,False,270,3,True
Q,369,586,#0064FF,35,False,90,123,False
Q,155,420,#FF8C00,35,False,270,194,False
T,588,72,#FF8C00,15,True,270,194,False
T,135,531,#FF8C00,15,True,270,184,False
T,506,667,#0064FF,35,False,180,192,False
Q,591,467,#FF8C00,15,True,0,194,False
T,932,121,#0064FF,35,False,0,194,False
T,682,555,#0064FF,15,True,180,155,False
Q,401,50,#FF8C00,15,True,180,12,True
T,872,412,#FF8C00,35,False,270,168,False
T,228,363,#0064FF,15,True,180,199,False
T,236,112,#0064FF,35,False,270,113,False
T,61,664,#FF8C00,15,True,180,199,False
Q,509,747,#FF8C00,15,True,270,184,False
T,481,115,#0064FF,15,True,0,178,False
T,852,545,#0064FF,35,False,270,9,True
Q,197,740,#FF8C00,15,True,0,166,False
Q,536,143,#0064FF,15,True,0,192,False
Q,739,471,#0064FF,35,False,180,99,True
Q,435,513,#0064FF,35,False,0,189,False
Q,706,730,#FF8C00,35,False,270,198,False
Q,922,576,#0064FF,35,False,0,154,False
L,760,209,#FF8C00,35,False,270,25,True
Q,629,624,#0064FF,35,False,180,194,False
Q,897,286,#FF8C00,15,True,90,31,True
Q,753,690,#0064FF,35,False,90,193,False
T,321,391,#FF8C00,35,False,270,188,False
T,433,588,#FF8C00,15,True,0,198,False
T,512,212,#0064FF,15,True,180,194,False
Q,98,486,#0064FF,35,False,0,194,False
Q,533,593,#0064FF,35,False,270,187,False
Q,708,79,#FF8C00,15,True,90,200,False
Q,214,652,#FF8C00,15,True,180,31,True
O,109,100,#FF8C00,15,True,180,165,False
Q,122,259,#FF8C00,35,False,90,202,False
T,439,419,#FF8C00,15,True,270,194,False
Q,502,315,#0064FF,15,True,90,201,False
T,375,648,#FF8C00,35,False,270,153,False
T,275,562,#FF8C00,15,True,0,18,True
Q,795,720,#FF8C00,35,False,90,189,False
