shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
O,311,256,#0064FF,15,True,180,0,True
O,897,230,#0064FF,35,False,0,5,True
O,415,665,#0064FF,35,False,90,0,True
L,606,674,#0064FF,35,False,0,9,True
T,783,135,#FF8C00,15,True,270,166,False
Q,780,304,#FF8C00,15,True,270,192,False
Q,778,70,#FF8C00,35,False,180,181,False
T,152,485,#FF8C00,15,True,0,198,False
T,244,280,#0064FF,35,False,270,9,True
Q,614,129,#FF8C00,35,False,0,201,False
T,630,494,#FF8C00,35,False,180,201,False
T,223,72,#FF8C00,15,True,180,199,False
T,545,428,#0064FF,35,False,180,186,False
Q,237,478,#0064FF,15,True,0,199,False
Q,452,133,#FF8C00,15,True,0,196,False
Q,575,235,#0064FF,15,True,0,198,False
T,186,298,#0064FF,35,False,270,132,False
T,592,549,#0064FF,35,False,180,194,False
T,679,120,#0064FF,35,False,270,199,False
Q,91,750,#0064FF,35,False,270,201,False
O,516,142,#FF8C00,15,True,180,194,False
T,522,714,#FF8C00,35,False,180,151,False
O,842,191,#FF8C00,35,False,270,10,True
T,235,687,#0064FF,35,False,180,181,False
T,142,648,#FF8C00,35,False,90,199,False
T,411,80,#0064FF,15,True,90,199,False
Q,218,407,#0064FF,35,False,270,202,False
T,485,424,#FF8C00,15,True,0,192,False
T,83,113,#FF8C00,35,False,180,194,False
Q,553,591,#FF8C00,15,True,0,188,False
Q,342,707,#0064FF,15,True,0,36,True
Q,520,210,#FF8C00,15,True,90,198,False
Q,317,545,#FF8C00,35,False,0,161,False
T,300,140,#FF8C00,35,False,0,181,False
L,194,741,#0064FF,15,True,90,194,False
T,832,702,#FF8C00,35,False,0,192,False
Q,71,302,#FF8C00,35,False,180,199,False
Q,207,532,#0064FF,35,False,270,194,False
T,714,507,#0064FF,35,False,180,194,False
Q,155,115,#0064FF,35,False,0,197,False
T,394,193,#0064FF,15,True,180,177,False
T,53,204,#0064FF,35,False,90,189,False
L,356,622,#FF8C00,15,True,270,26,True
Q,78,565,#FF8C00,15,True,90,194,False
T,662,367,#FF8C00,15,True,270,189,False
T,220,141,#FF8C00,15,True,0,197,False
T,774,666,#FF8C00,15,True,180,173,False
T,929,83,#0064FF,15,True,0,158,False
Q,724,262,#FF8C00,15,True,270,193,False
T,899,591,#FF8C00,35,False,0,192,False
T,849,401,#FF8C00,15,True,90,184,False
Q,930,540,#0064FF,35,False,270,199,False
T,497,531,#0064FF,15,True,0,199,False
Q,937,318,#0064FF,15,True,270,168,False
Q,374,146,#0064FF,15,True,180,193,False
T,556,352,#0064FF,15,True,270,177,False
Q,823,342,#0064FF,35,False,90,199,False
Q,380,558,#0064FF,35,False,180,147,False
Q,289,438,#0064FF,15,True,180,198,False
Q,501,80,#0064FF,15,True,180,201,False
Q,657,547,#0064FF,35,False,180,196,False
Q,742,627,#FF8C00,15,True,180,171,False
T,436,390,#FF8C00,15,True,90,194,False
T,291,85,#FF8C00,15,True,180,200,False
Q,683,454,#0064FF,15,True,180,196,False
Q,701,199,#0064FF,35,False,90,194,False
L,804,534,#FF8C00,35,False,270,193,False
Q,725,403,#0064FF,15,True,270,194,False
T,913,678,#0064FF,15,True,270,192,False
T,441,248,#0064FF,35,False,180,198,False
Q,135,231,#FF8C00,15,True,0,192,False
T,640,283,#FF8C00,35,False,180,200,False
T,286,312,#0064FF,15,True,270,18,True
T,231,349,#FF8C00,35,False,90,130,False
Q,112,417,#FF8C00,15,True,270,194,False
Q,864,555,#FF8C00,35,False,90,186,False
Q,93,508,#0064FF,15,True,0,194,False
Q,463,330,#FF8C00,35,False,180,194,False
T,794,393,#FF8C00,15,True,0,188,False
Q,197,218,#0064FF,15,True,180,145,False
T,754,446,#0064FF,35,False,270,196,False
Q,352,507,#FF8C00,35,False,0,187,False
T,431,517,#0064FF,15,True,180,194,False
T,73,693,#0064FF,15,True,180,194,False
Q,933,489,#FF8C00,35,False,180,193,False
T,164,417,#FF8C00,35,False,0,201,False
T,690,64,#0064FF,35,False,0,199,False
Q,419,607,#FF8C00,35,False,270,92,True
Q,856,464,#FF8C00,15,True,270,180,False
Q,844,633,#0064FF,15,True,270,201,False
T,430,466,#0064FF,15,True,180,200,False
T,874,734,#FF8C00,35,False,270,194,False
Q,131,338,#FF8C00,15,True,90,193,False
Q,324,374,#FF8C00,35,False,180,161,False
T,546,284,#FF8C00,15,True,90,189,False
Q,374,332,#FF8C00,35,False,180,135,False
T,181,368,#FF8C00,35,False,0,189,False
T,809,443,#0064FF,35,False,90,184,False
Q,792,245,#FF8C00,35,False,270,147,False
T,620,333,#0064FF,15,True,0,186,False
Q,677,695,#0064FF,35,False,180,0,True
Q,230,585,#0064FF,35,False,0,187,False
L,603,741,#FF8C00,35,False,0,20,True
T,589,77,#0064FF,15,True,270,194,False
Q,366,447,#FF8C00,15,True,270,194,False
