shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
L,328,61,#FF8C00,15,True,0,5,True
L,664,273,#FF8C00,15,True,270,0,True
L,186,496,#0064FF,15,True,270,21,True
O,641,707,#0064FF,35,False,90,0,True
Q,117,309,#FF8C00,35,False,180,194,False
Q,303,221,#0064FF,15,True,0,199,False
Q,910,577,#FF8C00,15,True,90,194,False
T,875,272,#0064FF,35,False,270,185,False
L,107,628,#FF8C00,35,False,0,23,True
T,928,227,#0064FF,15,True,270,177,False
Q,507,255,#FF8C00,35,False,180,187,False
T,233,209,#FF8C00,15,True,0,194,False
O,199,300,#0064FF,35,False,0,189,False
T,220,401,#0064FF,35,False,90,192,False
Q,812,679,#0064FF,35,False,270,198,False
Q,57,171,#FF8C00,35,False,270,192,False
T,151,195,#0064FF,35,False,180,196,False
T,513,511,#0064FF,35,False,0,194,False
T,215,73,#0064FF,35,False,180,181,False
Q,440,671,#0064FF,15,True,90,194,False
Q,363,745,#FF8C00,35,False,0,198,False
T,53,383,#0064FF,35,False,0,193,False
T,847,214,#FF8C00,15,True,0,189,False
T,337,377,#FF8C00,35,False,180,194,False
Q,768,438,#FF8C00,15,True,0,181,False
T,426,579,#FF8C00,15,True,0,189,False
Q,519,433,#0064FF,15,True,90,202,False
Q,921,66,#0064FF,35,False,90,201,False
Q,266,440,#0064FF,35,False,90,173,False
T,359,271,#FF8C00,35,False,90,194,False
L,448,232,#0064FF,35,False,180,198,False
T,782,748,#FF8C00,35,False,0,158,False
T,893,700,#FF8C00,35,False,0,198,False
O,166,549,#FF8C00,15,True,270,3,True
O,72,549,#FF8C00,35,False,0,0,True
T,388,186,#0064FF,35,False,90,184,False
Q,711,73,#0064FF,35,False,180,185,False
T,669,546,#FF8C00,35,False,270,194,False
Q,309,563,#0064FF,15,True,270,172,False
T,894,151,#FF8C00,15,True,90,189,False
L,601,253,#0064FF,35,False,180,0,True
T,867,344,#FF8C00,35,False,270,187,False
Q,753,499,#FF8C00,15,True,0,194,False
T,582,554,#FF8C00,15,True,270,194,False
T,290,709,#0064FF,15,True,180,194,False
T,417,521,#0064FF,35,False,90,197,False
Q,85,750,#FF8C00,35,False,0,187,False
T,504,113,#0064FF,35,False,0,181,False
Q,562,70,#FF8C00,15,True,0,201,False
Q,341,620,#FF8C00,35,False,180,194,False
T,863,657,#FF8C00,15,True,0,197,False
T,448,313,#FF8C00,15,True,270,194,False
T,927,456,#FF8C00,35,False,0,194,False
Q,76,685,#FF8C00,35,False,270,161,False
Q,668,479,#0064FF,35,False,90,194,False
Q,715,685,#0064FF,15,True,0,90,True
Q,741,190,#0064FF,35,False,180,174,False
Q,154,64,#FF8C00,35,False,90,197,False
Q,194,732,#FF8C00,35,False,270,194,False
T,800,234,#0064FF,35,False,0,189,False
Q,867,495,#FF8C00,35,False,270,189,False
T,749,644,#0064FF,15,True,0,184,False
Q,592,457,#0064FF,35,False,0,200,False
Q,630,87,#0064FF,15,True,270,189,False
L,112,121,#FF8C00,35,False,0,197,False
O,645,226,#FF8C00,15,True,90,5,True
Q,585,166,#FF8C00,15,True,180,164,False
T,496,177,#FF8C00,15,True,180,187,False
Q,707,151,#0064FF,15,True,90,189,False
Q,124,363,#0064FF,15,True,90,194,False
T,231,636,#0064FF,15,True,0,170,False
T,340,454,#FF8C00,15,True,0,189,False
Q,299,503,#0064FF,35,False,180,159,False
Q,484,61,#FF8C00,15,True,0,153,False
Q,567,312,#0064FF,15,True,270,96,True
T,832,730,#0064FF,15,True,0,199,False
O,785,101,#0064FF,15,True,90,184,False
Q,159,256,#0064FF,15,True,180,196,False
T,626,407,#0064FF,15,True,270,178,False
Q,854,87,#FF8C00,15,True,0,194,False
Q,936,327,#FF8C00,15,True,180,181,False
Q,105,54,#0064FF,15,True,180,194,False
Q,759,360,#0064FF,15,True,0,171,False
T,611,622,#FF8C00,35,False,0,96,True
T,516,659,#FF8C00,35,False,90,189,False
Q,843,434,#FF8C00,15,True,270,184,False
T,814,358,#0064FF,15,True,90,177,False
T,373,342,#0064FF,15,True,0,194,False
L,500,334,#0064FF,15,True,0,189,False
Q,262,155,#FF8C00,35,False,90,181,False
T,160,609,#FF8C00,35,False,0,12,True
T,504,714,#0064FF,35,False,180,194,False
Q,562,497,#0064FF,35,False,180,194,False
T,781,307,#0064FF,15,True,90,174,False
Q,793,578,#FF8C00,35,False,270,198,False
Q,518,594,#FF8C00,15,True,180,194,False
O,620,312,#FF8C00,15,True,180,12,True
T,52,111,#0064FF,15,True,180,197,False
T,549,368,#FF8C00,15,True,0,168,False
T,445,464,#FF8C00,15,True,180,194,False
