shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
O,246,137,#0064FF,35,False,0,7,True
O,904,144,#0064FF,15,True,90,6,True
L,164,514,#FF8C00,35,False,270,10,True
L,884,492,#FF8C00,15,True,270,0,True
Q,358,114,#FF8C00,35,False,0,0,True
O,886,545,#FF8C00,35,False,0,9,True
Q,721,471,#0064FF,35,False,90,194,False
Q,826,337,#0064FF,15,True,0,178,False
Q,284,297,#FF8C00,15,True,90,172,False
T,671,156,#FF8C00,35,False,90,194,False
T,90,123,#FF8C00,15,True,90,198,False
T,152,733,#FF8C00,35,False,90,194,False
Q,927,310,#0064FF,35,False,180,29,True
T,892,372,#0064FF,15,True,0,151,False
T,181,684,#0064FF,15,True,270,193,False
T,370,331,#0064FF,15,True,270,194,False
Q,313,138,#0064FF,15,True,0,0,True
T,250,348,#0064FF,35,False,270,197,False
T,465,190,#FF8C00,15,True,90,178,False
Q,841,196,#0064FF,15,True,90,25,True
T,478,464,#0064FF,15,True,180,194,False
L,297,520,#0064FF,15,True,0,6,True
T,686,615,#FF8C00,35,False,180,185,False
T,148,91,#0064FF,15,True,270,170,False
Q,328,52,#0064FF,35,False,270,53,True
T,505,720,#0064FF,35,False,180,201,False
Q,196,346,#FF8C00,15,True,0,196,False
T,458,649,#0064FF,15,True,180,197,False
Q,863,673,#FF8C00,15,True,180,193,False
O,949,188,#FF8C00,35,False,90,0,True
Q,575,140,#FF8C00,35,False,90,194,False
Q,300,429,#FF8C00,35,False,270,164,False
T,440,344,#0064FF,35,False,0,194,False
Q,530,110,#0064FF,35,False,180,194,False
Q,825,527,#0064FF,35,False,90,3,True
T,828,57,#0064FF,35,False,180,177,False
Q,550,520,#0064FF,15,True,270,194,False
O,687,401,#0064FF,15,True,90,201,False
L,243,531,#FF8C00,35,False,180,0,True
Q,254,673,#FF8C00,35,False,0,189,False
Q,210,395,#FF8C00,15,True,270,184,False
T,131,436,#FF8C00,35,False,0,159,False
T,91,247,#0064FF,15,True,180,194,False
T,679,227,#0064FF,15,True,0,194,False
T,345,703,#FF8C00,35,False,0,194,False
T,632,658,#FF8C00,35,False,270,191,False
T,222,266,#FF8C00,15,True,180,174,False
T,158,574,#FF8C00,35,False,0,68,True
Q,88,691,#FF8C00,15,True,0,200,False
Q,409,286,#FF8C00,35,False,180,194,False
T,125,186,#FF8C00,15,True,0,191,False
Q,553,236,#FF8C00,15,True,270,201,False
L,298,219,#0064FF,35,False,270,6,True
T,527,389,#0064FF,15,True,180,180,False
T,852,728,#0064FF,15,True,270,194,False
Q,392,520,#FF8C00,35,False,90,181,False
T,71,632,#FF8C00,35,False,180,194,False
Q,200,89,#FF8C00,15,True,180,109,False
Q,470,94,#0064FF,35,False,180,166,False
Q,720,341,#FF8C00,15,True,0,197,False
Q,391,732,#0064FF,15,True,90,199,False
Q,781,196,#0064FF,15,True,270,155,False
Q,588,335,#0064FF,35,False,90,189,False
Q,482,584,#0064FF,35,False,270,197,False
T,765,383,#FF8C00,35,False,90,198,False
