shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark,ist_fehler,bekommt_kreis
L,991,170,#FF8C00,30,True,180,50,True,False,False
T,1116,471,#0064FF,30,True,90,113,True,False,False
T,1257,339,#0064FF,30,True,180,167,False,False,False
T,478,728,#0064FF,60,False,270,201,False,False,False
O,1106,878,#FF8C00,60,False,90,65,True,True,True
T,233,359,#0064FF,60,False,0,151,False,False,False
L,1476,522,#FF8C00,60,False,180,75,True,False,False
T,743,558,#FF8C00,30,True,0,85,True,False,False
T,1369,889,#0064FF,30,True,270,154,False,False,False
Q,579,166,#FF8C00,60,False,0,146,False,False,False
Q,430,182,#FF8C00,30,True,90,131,False,False,True
T,891,762,#0064FF,60,False,90,194,False,False,False
Q,1141,377,#0064FF,30,True,0,60,True,False,False
O,334,117,#0064FF,60,False,180,80,True,False,False
T,1813,627,#0064FF,30,True,90,181,False,False,False
L,887,471,#0064FF,30,True,270,165,False,True,False
Q,1657,873,#FF8C00,30,True,180,154,False,False,False
T,1568,422,#FF8C00,60,False,90,194,False,False,False
L,999,514,#0064FF,60,False,180,60,True,True,True
Q,347,608,#FF8C00,60,False,90,174,False,False,False
Q,665,518,#0064FF,60,False,0,148,False,False,False
T,150,996,#0064FF,30,True,90,194,False,False,False
Q,1828,129,#FF8C00,30,True,0,175,False,False,False
Q,1254,905,#0064FF,30,True,0,166,False,False,False
Q,515,902,#FF8C00,60,False,0,146,False,False,False
O,1003,255,#FF8C00,60,False,270,94,True,True,False
T,1061,798,#FF8C00,60,False,0,109,True,False,False
L,1185,123,#0064FF,30,True,180,182,False,True,True
T,1761,527,#FF8C00,30,True,90,146,False,False,False
Q,1553,158,#FF8C00,30,True,0,194,False,False,False
Q,445,484,#0064FF,30,True,270,138,False,False,False
Q,877,998,#FF8C00,30,True,180,194,False,False,False
Q,119,83,#0064FF,60,False,180,83,True,False,False
Q,544,518,#FF8C00,30,True,0,188,False,False,False
T,1044,987,#0064FF,30,True,0,114,True,False,False
O,1168,788,#FF8C00,30,True,180,55,True,True,True
L,1113,276,#0064FF,60,False,180,58,True,True,True
O,341,320,#FF8C00,60,False,270,103,True,True,False
T,1531,735,#FF8C00,30,True,180,160,False,False,False
O,1243,596,#FF8C00,30,True,270,148,False,True,False
O,184,442,#FF8C00,30,True,90,89,True,True,True
T,1814,750,#0064FF,60,False,180,180,False,False,False
Q,89,603,#FF8C00,60,False,90,130,False,False,False
Q,1526,875,#0064FF,60,False,0,163,False,False,True
L,1262,704,#0064FF,60,False,180,80,True,True,True
L,639,807,#0064FF,30,True,0,76,True,True,True
Q,256,281,#FF8C00,30,True,90,151,False,False,False
Q,88,336,#FF8C00,30,True,270,194,False,False,False
L,81,202,#0064FF,30,True,180,63,True,True,True
O,605,900,#0064FF,60,False,0,77,True,False,False
Q,1329,471,#FF8C00,60,False,180,155,False,False,False
T,927,304,#0064FF,60,False,90,153,False,False,False
Q,286,784,#FF8C00,30,True,90,110,True,False,False
T,1726,139,#0064FF,30,True,270,168,False,False,False
Q,1621,680,#0064FF,60,False,180,172,False,False,False
T,236,653,#0064FF,60,False,0,189,False,False,False
T,1681,222,#0064FF,30,True,270,194,False,False,False
Q,1443,814,#0064FF,30,True,0,178,False,False,False
O,1048,427,#FF8C00,30,True,90,70,True,True,True
O,1838,990,#0064FF,30,True,180,84,True,False,False
Q,1473,142,#FF8C00,60,False,180,189,False,False,False
T,850,362,#0064FF,60,False,180,158,False,False,True
T,183,752,#0064FF,30,True,270,189,False,False,False
T,268,169,#0064FF,30,True,0,117,True,False,False
T,1683,761,#0064FF,60,False,270,170,False,False,False
T,1784,259,#FF8C00,30,True,90,196,False,False,False
Q,442,637,#0064FF,60,False,90,182,False,False,False
Q,203,91,#FF8C00,30,True,90,150,False,False,False
Q,585,716,#FF8C00,60,False,90,142,False,False,False
T,692,106,#FF8C00,60,False,90,192,False,False,False
Q,990,920,#FF8C00,60,False,180,167,False,False,False
Q,422,855,#FF8C00,60,False,90,127,False,False,True
T,352,480,#0064FF,30,True,90,146,False,False,False
Q,145,912,#FF8C00,60,False,270,200,False,False,False
T,1553,624,#FF8C00,60,False,90,146,False,False,False
T,787,233,#FF8C00,60,False,0,125,False,False,False
L,615,238,#FF8C00,60,False,0,168,False,False,False
T,379,785,#0064FF,60,False,90,151,False,False,False
Q,1352,104,#FF8C00,30,True,180,194,False,False,False
T,1177,989,#0064FF,60,False,270,175,False,False,False
