shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark,ist_fehler,bekommt_kreis
T,681,466,#0064FF,30,False,0,161,False,False,False
T,63,40,#0064FF,15,True,180,181,False,False,False
T,611,285,#0064FF,30,False,0,99,True,False,False
L,548,382,#FF8C00,15,True,180,74,True,False,False
L,208,472,#0064FF,30,False,270,46,True,True,False
T,320,199,#FF8C00,30,False,180,194,False,False,False
T,234,395,#FF8C00,30,False,90,85,True,False,False
T,525,180,#0064FF,30,False,180,192,False,False,False
O,718,314,#FF8C00,15,True,0,86,True,True,True
Q,169,316,#0064FF,30,False,90,119,True,False,False
Q,61,488,#FF8C00,15,True,270,177,False,False,False
Q,316,422,#0064FF,15,True,90,73,True,False,False
Q,316,508,#0064FF,30,False,0,50,True,False,False
O,241,293,#FF8C00,30,False,90,70,True,True,True
L,259,338,#FF8C00,30,False,90,63,True,False,False
Q,667,148,#0064FF,30,False,270,94,True,False,False
Q,608,400,#FF8C00,15,True,90,89,True,False,False
Q,454,143,#0064FF,30,False,0,194,False,False,False
T,149,139,#FF8C00,15,True,90,154,False,False,False
Q,389,509,#FF8C00,30,False,270,178,False,False,False
Q,504,477,#FF8C00,30,False,270,198,False,False,False
Q,455,90,#FF8C00,30,False,90,194,False,False,False
Q,188,188,#FF8C00,30,False,180,106,True,False,False
T,657,423,#FF8C00,30,False,180,125,False,False,False
O,374,173,#0064FF,15,True,90,194,False,False,False
Q,368,359,#0064FF,15,True,0,132,False,False,False
T,645,40,#0064FF,15,True,180,10,True,False,False
L,481,540,#0064FF,30,False,180,194,False,True,True
T,635,333,#0064FF,30,False,180,74,True,False,False
T,398,320,#FF8C00,15,True,0,173,False,False,False
T,95,135,#FF8C00,15,True,180,191,False,False,False
Q,285,116,#FF8C00,15,True,180,194,False,False,False
T,485,384,#FF8C00,15,True,90,130,False,False,False
O,557,50,#FF8C00,30,False,180,74,True,True,True
T,44,182,#0064FF,15,True,90,194,False,False,False
T,477,303,#0064FF,30,False,180,172,False,False,False
T,122,194,#0064FF,15,True,0,140,False,False,False
Q,355,539,#FF8C00,15,True,90,113,True,False,False
T,266,536,#FF8C00,30,False,0,0,True,False,False
Q,245,182,#FF8C00,30,False,180,148,False,False,False
T,417,117,#0064FF,30,False,0,197,False,False,False
T,351,80,#0064FF,15,True,90,196,False,False,False
Q,603,478,#FF8C00,15,True,0,175,False,False,False
T,654,375,#0064FF,30,False,90,79,True,False,False
T,148,388,#FF8C00,15,True,0,156,False,False,False
T,566,278,#0064FF,15,True,90,135,False,False,False
Q,715,170,#FF8C00,15,True,180,80,True,False,False
Q,92,284,#FF8C00,15,True,0,196,False,False,True
T,697,43,#0064FF,30,False,0,19,True,False,False
Q,160,459,#FF8C00,15,True,270,90,True,False,False
O,197,374,#FF8C00,30,False,0,109,True,True,False
L,718,114,#0064FF,30,False,90,60,True,True,True
Q,563,540,#0064FF,30,False,270,194,False,False,False
Q,284,454,#FF8C00,30,False,180,47,True,False,False
O,609,96,#0064FF,30,False,270,73,True,False,False
Q,332,277,#FF8C00,15,True,270,140,False,False,False
T,282,52,#FF8C00,30,False,90,196,False,False,False
T,720,475,#0064FF,30,False,0,155,False,False,True
Q,132,512,#0064FF,15,True,270,99,True,False,False
Q,106,361,#FF8C00,15,True,90,189,False,False,False
T,390,411,#0064FF,15,True,180,159,False,False,False
Q,236,103,#FF8C00,15,True,0,199,False,False,False
Q,470,231,#FF8C00,30,False,90,194,False,False,True
L,58,113,#0064FF,15,True,90,198,False,True,False
Q,525,348,#0064FF,15,True,90,96,True,False,False
T,650,228,#0064FF,15,True,90,101,True,False,False
T,444,353,#0064FF,15,True,0,161,False,False,False
T,565,127,#0064FF,15,True,180,135,False,False,False
Q,52,440,#FF8C00,30,False,180,181,False,False,False
O,684,81,#0064FF,15,True,180,41,True,False,True
T,154,41,#0064FF,30,False,270,194,False,False,False
L,64,232,#0064FF,15,True,180,194,False,True,False
Q,717,212,#0064FF,30,False,270,93,True,False,False
L,266,491,#FF8C00,15,True,180,19,True,False,False
Q,344,453,#FF8C00,30,False,90,105,True,False,False
O,576,352,#FF8C00,15,True,180,63,True,True,True
T,88,83,#FF8C00,30,False,180,194,False,False,False
Q,522,287,#0064FF,15,True,270,156,False,False,False
T,503,42,#0064FF,15,True,0,140,False,False,False
Q,278,232,#FF8C00,30,False,0,131,False,False,False
