shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark,ist_fehler,bekommt_kreis
O,546,64,#0064FF,15,True,90,5,True,False,False
Q,494,143,#FF8C00,15,True,90,106,True,False,False
T,76,152,#FF8C00,15,True,270,181,False,False,False
Q,702,165,#0064FF,30,False,180,138,False,False,False
O,712,223,#FF8C00,15,True,180,159,False,True,True
T,557,382,#FF8C00,15,True,90,180,False,False,False
Q,97,427,#0064FF,15,True,0,168,False,False,False
Q,61,260,#FF8C00,30,False,90,175,False,False,False
Q,84,468,#FF8C00,30,False,90,191,False,False,False
L,420,455,#0064FF,30,False,180,85,True,True,True
Q,559,529,#FF8C00,15,True,270,178,False,False,False
T,473,49,#0064FF,15,True,180,73,True,False,False
O,426,509,#FF8C00,15,True,0,53,True,True,False
Q,149,468,#FF8C00,30,False,0,186,False,False,False
O,599,127,#0064FF,30,False,180,82,True,False,False
Q,597,378,#0064FF,15,True,270,168,False,False,False
T,540,331,#0064FF,15,True,90,181,False,False,False
T,633,168,#0064FF,30,False,90,121,False,False,False
L,359,532,#FF8C00,15,True,270,31,True,False,False
Q,218,98,#FF8C00,15,True,90,194,False,False,False
L,626,55,#FF8C00,30,False,180,90,True,False,False
Q,122,240,#FF8C00,15,True,270,198,False,False,True
L,330,425,#0064FF,15,True,180,74,True,True,True
O,475,98,#FF8C00,30,False,180,80,True,True,True
T,594,223,#0064FF,30,False,180,171,False,False,False
Q,477,479,#0064FF,30,False,0,111,True,False,False
L,387,429,#FF8C00,30,False,0,83,True,False,False
Q,176,355,#FF8C00,15,True,270,198,False,False,False
Q,706,280,#0064FF,15,True,0,137,False,False,True
O,384,479,#0064FF,15,True,180,55,True,False,False
T,211,492,#0064FF,30,False,180,164,False,False,False
T,657,528,#FF8C00,30,False,270,197,False,False,False
T,650,286,#0064FF,30,False,180,148,False,False,False
T,414,119,#FF8C00,15,True,180,148,False,False,False
Q,651,357,#FF8C00,30,False,90,138,False,False,False
Q,161,209,#FF8C00,30,False,270,199,False,False,False
T,43,194,#0064FF,30,False,0,185,False,False,False
Q,450,400,#FF8C00,30,False,180,142,False,False,False
T,703,351,#0064FF,15,True,0,126,False,False,False
T,261,172,#0064FF,15,True,270,200,False,False,False
T,551,132,#0064FF,15,True,270,69,True,False,False
Q,89,511,#FF8C00,15,True,180,202,False,False,False
T,314,260,#FF8C00,30,False,90,194,False,False,False
Q,288,326,#0064FF,30,False,270,167,False,False,False
Q,75,309,#0064FF,30,False,180,175,False,False,False
O,319,503,#FF8C00,30,False,270,58,True,True,False
T,430,261,#0064FF,30,False,180,168,False,False,False
T,310,161,#0064FF,15,True,90,201,False,False,False
T,114,386,#0064FF,30,False,0,171,False,False,False
Q,529,218,#FF8C00,30,False,0,174,False,False,False
Q,634,98,#FF8C00,15,True,0,103,True,False,False
T,463,309,#0064FF,30,False,270,158,False,False,False
T,240,461,#0064FF,15,True,180,138,False,False,False
Q,364,196,#FF8C00,30,False,90,199,False,False,False
Q,604,428,#FF8C00,30,False,180,161,False,False,False
Q,610,299,#0064FF,15,True,180,164,False,False,True
T,561,475,#FF8C00,15,True,270,174,False,False,False
T,462,215,#FF8C00,30,False,0,174,False,False,False
L,464,538,#0064FF,30,False,180,80,True,True,False
Q,214,379,#FF8C00,15,True,270,184,False,False,False
Q,663,411,#FF8C00,30,False,270,136,False,False,False
T,477,263,#FF8C00,15,True,270,164,False,False,False
Q,117,146,#FF8C00,15,True,0,194,False,False,False
T,172,138,#FF8C00,15,True,180,194,False,False,False
T,703,453,#0064FF,30,False,90,140,False,False,False
Q,503,426,#FF8C00,15,True,270,158,False,False,True
Q,266,226,#0064FF,15,True,90,194,False,False,False
T,422,62,#0064FF,30,False,180,127,False,False,False
T,635,238,#0064FF,15,True,180,147,False,False,False
Q,359,142,#0064FF,30,False,270,201,False,False,False
T,436,362,#FF8C00,15,True,0,148,False,False,False
T,270,86,#FF8C00,15,True,90,194,False,False,False
Q,204,238,#0064FF,30,False,180,198,False,False,False
L,341,466,#0064FF,15,True,270,62,True,True,True
T,203,539,#0064FF,30,False,180,171,False,False,False
Q,267,409,#FF8C00,15,True,180,121,False,False,False
T,327,309,#0064FF,30,False,90,181,False,False,False
L,589,72,#0064FF,15,True,90,41,True,True,True
O,279,510,#FF8C00,30,False,0,94,True,True,False
T,708,403,#0064FF,30,False,0,140,False,False,False
