shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark,ist_fehler,bekommt_kreis
O,1719,274,#0064FF,30,True,90,193,False,False,False
T,507,374,#FF8C00,60,False,270,191,False,False,False
T,721,351,#0064FF,60,False,180,184,False,False,False
T,1424,803,#0064FF,60,False,90,168,False,False,False
O,86,341,#FF8C00,60,False,270,93,True,True,False
T,1512,331,#0064FF,30,True,0,161,False,False,False
O,1318,199,#FF8C00,60,False,180,46,True,True,True
T,1034,798,#0064FF,30,True,0,175,False,False,False
Q,518,775,#FF8C00,30,True,180,103,True,False,False
T,1117,120,#0064FF,60,False,180,191,False,False,False
O,1721,468,#0064FF,30,True,180,63,True,False,False
Q,833,619,#FF8C00,60,False,180,197,False,False,False
T,1370,129,#FF8C00,30,True,270,131,False,False,False
T,1562,520,#0064FF,30,True,90,182,False,False,False
T,603,926,#FF8C00,60,False,270,154,False,False,False
Q,1665,971,#FF8C00,30,True,270,200,False,False,True
Q,1401,704,#0064FF,60,False,180,93,True,False,False
T,172,968,#0064FF,30,True,90,191,False,False,False
Q,407,792,#FF8C00,30,True,90,181,False,False,False
L,1502,673,#0064FF,60,False,90,75,True,True,True
Q,1084,444,#FF8C00,60,False,180,201,False,False,False
Q,1599,820,#FF8C00,30,True,180,150,False,False,False
L,751,896,#FF8C00,60,False,180,89,True,False,False
T,1270,838,#FF8C00,60,False,270,166,False,False,False
L,143,744,#FF8C00,30,True,180,153,False,False,False
Q,1398,268,#0064FF,30,True,180,50,True,False,True
T,395,674,#FF8C00,60,False,180,201,False,False,False
Q,628,428,#FF8C00,30,True,180,165,False,False,False
Q,834,490,#FF8C00,60,False,0,172,False,False,False
T,1706,900,#FF8C00,60,False,180,144,False,False,False
Q,1730,726,#FF8C00,60,False,0,201,False,False,False
Q,1418,536,#0064FF,30,True,270,184,False,False,False
Q,892,349,#FF8C00,30,True,90,117,True,False,False
T,1522,959,#FF8C00,60,False,270,175,False,False,False
Q,814,992,#FF8C00,30,True,0,132,False,False,False
T,463,569,#0064FF,60,False,0,109,True,False,False
T,1596,922,#0064FF,30,True,180,194,False,False,False
T,1094,217,#0064FF,30,True,0,201,False,False,False
L,1759,579,#0064FF,60,False,180,69,True,True,True
Q,1380,887,#0064FF,30,True,90,194,False,False,False
O,1282,986,#FF8C00,60,False,180,93,True,True,True
O,931,127,#0064FF,30,True,90,65,True,False,False
T,1836,158,#0064FF,60,False,180,178,False,False,False
Q,823,752,#FF8C00,60,False,90,126,False,False,False
Q,1106,316,#FF8C00,60,False,180,194,False,False,False
Q,286,639,#FF8C00,60,False,90,194,False,False,False
T,846,889,#0064FF,30,True,0,101,True,False,False
T,101,111,#0064FF,30,True,0,146,False,False,False
L,1586,139,#0064FF,60,False,90,92,True,True,False
Q,248,103,#FF8C00,60,False,90,166,False,False,False
T,1624,605,#0064FF,30,True,180,194,False,False,False
L,897,432,#FF8C00,30,True,90,53,True,False,False
L,1465,131,#0064FF,30,True,0,67,True,True,True
O,1389,997,#FF8C00,30,True,180,92,True,True,True
Q,1815,707,#0064FF,60,False,180,202,False,False,False
L,1172,976,#0064FF,30,True,270,42,True,True,True
Q,1296,747,#0064FF,60,False,90,148,False,False,False
Q,255,358,#FF8C00,30,True,90,201,False,False,True
Q,710,622,#0064FF,60,False,0,198,False,False,False
L,250,739,#0064FF,60,False,180,174,False,True,False
Q,1648,365,#FF8C00,30,True,270,168,False,False,True
Q,1192,560,#0064FF,30,True,0,184,False,False,False
T,1149,808,#0064FF,30,True,180,151,False,False,False
T,491,197,#0064FF,60,False,270,163,False,False,False
Q,1285,663,#FF8C00,60,False,90,117,True,False,False
T,365,529,#0064FF,30,True,270,135,False,False,False
O,1277,278,#FF8C00,30,True,270,92,True,True,True
T,1024,80,#FF8C00,30,True,270,107,True,False,False
T,1830,425,#0064FF,30,True,180,141,False,False,False
Q,294,191,#0064FF,60,False,0,158,False,False,False
T,653,132,#0064FF,60,False,90,193,False,False,False
Q,1584,236,#FF8C00,30,True,0,160,False,False,False
O,897,998,#FF8C00,60,False,0,86,True,True,True
O,1818,888,#FF8C00,60,False,270,83,True,True,False
T,953,543,#0064FF,60,False,0,178,False,False,False
Q,1294,451,#FF8C00,60,False,90,138,False,False,False
T,761,206,#FF8C00,60,False,90,200,False,False,False
Q,138,452,#FF8C00,30,True,90,123,False,False,False
T,694,259,#0064FF,30,True,270,201,False,False,False
L,770,814,#0064FF,30,True,270,38,True,True,True
