shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark,ist_fehler,bekommt_kreis
O,123,421,#0064FF,15,True,180,165,False,False,False
O,705,50,#FF8C00,15,True,90,50,True,True,True
T,107,478,#0064FF,30,False,270,129,False,False,False
T,216,450,#0064FF,15,True,90,119,True,False,False
Q,659,128,#0064FF,15,True,90,107,True,False,False
L,498,72,#FF8C00,15,True,270,47,True,False,False
T,461,238,#0064FF,15,True,270,194,False,False,False
T,699,410,#0064FF,15,True,0,191,False,False,False
Q,364,397,#FF8C00,15,True,0,160,False,False,False
Q,612,538,#FF8C00,30,False,180,194,False,False,False
L,612,61,#0064FF,15,True,180,79,True,True,True
T,207,274,#0064FF,15,True,180,167,False,False,False
Q,561,202,#FF8C00,30,False,180,142,False,False,False
T,486,196,#0064FF,30,False,270,180,False,False,False
T,121,305,#0064FF,15,True,0,139,False,False,False
T,597,350,#FF8C00,15,True,0,194,False,False,False
Q,711,212,#FF8C00,15,True,90,198,False,False,False
T,87,513,#0064FF,30,False,90,119,True,False,False
L,419,57,#0064FF,30,False,270,74,True,True,False
Q,43,201,#FF8C00,15,True,90,90,True,False,False
T,252,343,#0064FF,30,False,90,144,False,False,False
T,458,511,#0064FF,30,False,0,113,True,False,False
O,149,540,#FF8C00,15,True,90,43,True,True,True
O,661,46,#FF8C00,30,False,90,53,True,True,False
T,589,306,#0064FF,30,False,0,194,False,False,False
Q,486,353,#0064FF,15,True,270,194,False,False,False
L,472,110,#0064FF,30,False,180,82,True,True,False
Q,110,127,#FF8C00,30,False,0,142,False,False,False
Q,591,433,#0064FF,30,False,270,185,False,False,False
Q,105,378,#0064FF,15,True,0,178,False,False,False
T,411,404,#0064FF,30,False,0,180,False,False,False
T,569,270,#FF8C00,30,False,0,187,False,False,False
T,309,117,#FF8C00,15,True,180,168,False,False,False
T,304,244,#FF8C00,30,False,270,150,False,False,False
T,423,183,#0064FF,30,False,0,172,False,False,False
Q,192,58,#FF8C00,30,False,90,177,False,False,False
Q,390,452,#FF8C00,15,True,270,174,False,False,False
L,187,516,#FF8C00,15,True,180,65,True,False,False
Q,43,444,#FF8C00,30,False,180,177,False,False,False
L,645,88,#0064FF,30,False,270,94,True,True,True
T,265,279,#0064FF,30,False,90,150,False,False,False
Q,187,416,#0064FF,15,True,0,132,False,False,False
Q,198,202,#0064FF,30,False,270,161,False,False,False
T,342,223,#FF8C00,30,False,90,159,False,False,False
Q,268,406,#0064FF,30,False,180,136,False,False,True
T,78,266,#FF8C00,15,True,270,97,True,False,False
O,157,487,#0064FF,30,False,90,90,True,False,False
O,700,102,#FF8C00,30,False,90,80,True,True,True
L,572,51,#0064FF,30,False,90,80,True,True,True
T,140,67,#FF8C00,15,True,90,173,False,False,False
T,279,490,#0064FF,15,True,270,175,False,False,False
T,207,147,#FF8C00,15,True,90,154,False,False,False
Q,161,264,#0064FF,30,False,90,154,False,False,False
T,164,171,#0064FF,15,True,90,150,False,False,True
T,560,114,#0064FF,30,False,90,107,True,False,True
Q,694,539,#0064FF,15,True,180,161,False,False,False
Q,366,502,#FF8C00,15,True,90,185,False,False,False
Q,117,204,#FF8C00,15,True,0,113,True,False,False
Q,433,270,#FF8C00,30,False,90,198,False,False,False
Q,270,180,#FF8C00,30,False,270,172,False,False,False
T,307,458,#FF8C00,30,False,0,177,False,False,False
T,632,269,#0064FF,15,True,90,196,False,False,False
T,485,309,#FF8C00,30,False,270,202,False,False,False
Q,652,196,#FF8C00,30,False,0,158,False,False,False
T,76,72,#0064FF,15,True,180,138,False,False,False
Q,378,356,#FF8C00,30,False,270,148,False,False,False
T,694,331,#0064FF,15,True,270,196,False,False,False
Q,303,340,#FF8C00,15,True,0,116,True,False,False
T,620,389,#0064FF,15,True,270,197,False,False,False
Q,315,386,#FF8C00,30,False,180,127,False,False,False
Q,519,396,#FF8C00,15,True,90,194,False,False,False
T,76,349,#FF8C00,30,False,90,167,False,False,False
Q,231,73,#FF8C00,15,True,270,165,False,False,False
Q,605,113,#FF8C00,30,False,90,114,True,False,False
O,463,45,#0064FF,15,True,270,17,True,False,True
Q,288,66,#FF8C00,30,False,180,166,False,False,False
Q,388,216,#0064FF,15,True,180,180,False,False,False
Q,666,236,#0064FF,15,True,90,198,False,False,False
O,680,491,#FF8C00,30,False,270,167,False,True,False
L,433,100,#FF8C00,15,True,0,92,True,False,False
