shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark,ist_fehler,bekommt_kreis
Q,714,203,#FF8C00,15,True,180,116,True,False,False
L,382,247,#0064FF,15,True,270,82,True,True,True
T,496,322,#FF8C00,30,False,0,161,False,False,False
Q,98,460,#FF8C00,30,False,90,168,False,False,False
Q,488,181,#FF8C00,15,True,90,130,False,False,False
T,204,459,#0064FF,15,True,270,160,False,False,False
Q,681,423,#FF8C00,30,False,0,136,False,False,False
Q,667,187,#0064FF,15,True,270,134,False,False,False
Q,697,365,#FF8C00,30,False,180,186,False,False,False
Q,299,421,#0064FF,15,True,0,147,False,False,False
T,577,182,#0064FF,30,False,270,151,False,False,False
L,433,231,#FF8C00,15,True,270,97,True,False,False
T,405,420,#0064FF,15,True,90,198,False,False,True
Q,484,259,#FF8C00,15,True,90,147,False,False,False
T,205,296,#0064FF,15,True,0,158,False,False,True
Q,246,206,#FF8C00,30,False,270,135,False,False,False
Q,237,528,#FF8C00,30,False,180,138,False,False,True
Q,414,365,#0064FF,30,False,270,201,False,False,False
T,416,316,#FF8C00,30,False,90,173,False,False,False
T,404,135,#0064FF,15,True,270,80,True,False,False
T,585,234,#0064FF,15,True,90,129,False,False,False
Q,528,218,#FF8C00,15,True,0,142,False,False,False
T,311,356,#0064FF,15,True,90,196,False,False,False
Q,145,338,#FF8C00,30,False,270,138,False,False,False
T,87,178,#0064FF,30,False,0,200,False,False,False
T,560,506,#0064FF,15,True,0,194,False,False,False
L,335,146,#0064FF,30,False,90,90,True,True,True
L,387,179,#FF8C00,15,True,180,56,True,False,False
T,168,49,#FF8C00,15,True,270,197,False,False,False
Q,662,267,#FF8C00,15,True,0,121,False,False,False
O,316,249,#FF8C00,30,False,90,90,True,True,True
O,317,491,#0064FF,15,True,180,82,True,False,False
Q,41,135,#0064FF,15,True,90,154,False,False,False
O,684,531,#FF8C00,30,False,0,48,True,True,False
T,185,88,#0064FF,30,False,180,199,False,False,False
T,557,279,#0064FF,30,False,0,125,False,False,False
T,47,225,#0064FF,30,False,180,184,False,False,False
Q,243,97,#FF8C00,15,True,270,177,False,False,False
L,679,486,#0064FF,30,False,0,82,True,True,False
T,493,487,#FF8C00,30,False,0,194,False,False,False
O,72,327,#FF8C00,15,True,270,94,True,True,True
T,253,312,#FF8C00,30,False,180,153,False,False,True
Q,88,275,#FF8C00,15,True,90,158,False,False,False
T,607,339,#0064FF,15,True,0,106,True,False,False
Q,111,145,#0064FF,15,True,180,194,False,False,False
Q,126,251,#0064FF,30,False,180,200,False,False,False
Q,606,413,#FF8C00,15,True,180,127,False,False,False
Q,372,100,#0064FF,30,False,180,114,True,False,False
Q,176,369,#FF8C00,30,False,90,158,False,False,False
Q,377,47,#FF8C00,30,False,0,142,False,False,False
T,638,444,#0064FF,30,False,180,139,False,False,False
T,112,412,#0064FF,30,False,270,141,False,False,False
T,497,111,#FF8C00,15,True,90,140,False,False,False
Q,366,308,#FF8C00,15,True,90,161,False,False,False
T,217,248,#FF8C00,15,True,0,165,False,False,False
Q,198,147,#FF8C00,30,False,180,194,False,False,False
O,316,76,#FF8C00,15,True,180,166,False,True,True
L,329,201,#0064FF,15,True,0,60,True,True,False
Q,423,486,#FF8C00,30,False,90,194,False,False,False
O,351,517,#FF8C00,30,False,180,94,True,True,True
T,633,383,#0064FF,15,True,180,132,False,False,False
L,67,367,#FF8C00,30,False,180,87,True,False,False
L,719,471,#0064FF,30,False,0,67,True,True,False
T,623,166,#FF8C00,15,True,180,148,False,False,False
T,45,518,#0064FF,15,True,90,194,False,False,False
T,179,183,#0064FF,15,True,90,194,False,False,False
T,429,535,#0064FF,30,False,270,197,False,False,False
T,127,53,#0064FF,30,False,0,192,False,False,False
O,296,530,#0064FF,15,True,0,71,True,False,False
T,488,539,#FF8C00,30,False,90,197,False,False,False
Q,562,115,#0064FF,30,False,90,171,False,False,False
Q,527,148,#FF8C00,15,True,270,152,False,False,False
Q,691,121,#0064FF,30,False,90,152,False,False,False
T,472,361,#0064FF,30,False,90,174,False,False,False
T,222,365,#FF8C00,15,True,180,168,False,False,False
Q,641,99,#FF8C00,15,True,270,163,False,False,False
O,440,168,#0064FF,30,False,270,90,True,False,False
Q,381,453,#0064FF,15,True,270,159,False,False,False
Q,674,310,#0064FF,30,False,0,142,False,False,False
T,570,372,#FF8C00,30,False,180,107,True,False,False
