shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
O,273,197,#0064FF,15,True,270,1,True
L,611,183,#0064FF,15,True,90,0,True
L,125,508,#0064FF,35,False,180,5,True
O,860,673,#FF8C00,35,False,0,5,True
O,669,149,#FF8C00,15,True,0,0,True
Q,711,513,#FF8C00,35,False,90,194,False
T,791,498,#FF8C00,35,False,0,194,False
Q,108,374,#0064FF,35,False,270,186,False
Q,724,400,#FF8C00,15,True,270,194,False
Q,63,76,#FF8C00,35,False,0,194,False
T,215,567,#0064FF,15,True,90,174,False
L,200,200,#FF8C00,35,False,270,0,True
T,875,340,#FF8C00,15,True,180,200,False
L,874,607,#FF8C00,35,False,90,71,True
L,638,229,#FF8C00,15,True,180,15,True
T,775,297,#0064FF,35,False,90,181,False
Q,331,625,#0064FF,15,True,270,188,False
T,326,67,#FF8C00,15,True,180,168,False
T,360,313,#0064FF,35,False,90,181,False
O,238,156,#0064FF,35,False,0,0,True
Q,938,291,#FF8C00,15,True,270,201,False
Q,554,728,#0064FF,15,True,0,196,False
