shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
O,334,140,#0064FF,15,True,270,0,True
L,875,273,#FF8C00,15,True,180,0,True
L,183,750,#0064FF,35,False,180,0,True
L,806,506,#FF8C00,35,False,180,24,True
L,126,696,#0064FF,35,False,90,0,True
Q,503,457,#FF8C00,15,True,0,194,False
O,699,536,#FF8C00,35,False,90,3,True
T,359,193,#FF8C00,15,True,0,0,True
T,496,364,#FF8C00,35,False,180,194,False
T,563,624,#FF8C00,35,False,0,199,False
Q,171,534,#0064FF,35,False,270,194,False
T,754,591,#0064FF,15,True,0,0,True
T,557,167,#0064FF,15,True,90,187,False
T,179,307,#0064FF,15,True,270,194,False
T,465,722,#FF8C00,35,False,270,199,False
Q,622,737,#0064FF,35,False,180,194,False
T,88,546,#0064FF,35,False,270,197,False
Q,757,83,#FF8C00,35,False,270,194,False
Q,888,739,#FF8C00,15,True,0,194,False
Q,506,276,#FF8C00,15,True,0,200,False
Q,385,485,#FF8C00,15,True,270,186,False
O,245,176,#0064FF,15,True,180,29,True
Q,160,80,#0064FF,35,False,0,180,False
Q,635,252,#FF8C00,15,True,180,191,False
T,826,578,#0064FF,35,False,270,36,True
T,372,386,#FF8C00,15,True,180,194,False
T,93,276,#0064FF,35,False,0,194,False
T,769,717,#0064FF,15,True,270,187,False
Q,936,643,#0064FF,15,True,180,193,False
Q,442,353,#0064FF,15,True,0,194,False
T,893,460,#0064FF,15,True,180,200,False
Q,309,472,#FF8C00,15,True,0,192,False
L,900,156,#FF8C00,15,True,0,7,True
T,433,598,#FF8C00,15,True,90,194,False
Q,208,384,#0064FF,35,False,90,194,False
T,598,401,#FF8C00,15,True,90,201,False
O,847,167,#FF8C00,35,False,90,33,True
T,637,332,#FF8C00,35,False,90,188,False
T,67,126,#FF8C00,15,True,90,198,False
Q,402,743,#0064FF,15,True,270,198,False
Q,110,393,#0064FF,15,True,0,199,False
T,515,225,#FF8C00,35,False,0,193,False
Q,162,471,#0064FF,35,False,180,194,False
Q,876,631,#0064FF,35,False,180,155,False
Q,517,559,#FF8C00,35,False,270,194,False
T,629,677,#FF8C00,35,False,90,194,False
Q,729,674,#FF8C00,35,False,270,168,False
Q,565,242,#FF8C00,35,False,90,194,False
Q,708,268,#0064FF,35,False,0,194,False
Q,630,58,#FF8C00,15,True,180,194,False
T,205,704,#0064FF,15,True,270,6,True
T,353,636,#0064FF,15,True,0,196,False
Q,593,302,#0064FF,35,False,90,184,False
Q,446,278,#FF8C00,15,True,90,180,False
Q,551,377,#FF8C00,15,True,270,194,False
Q,294,367,#0064FF,35,False,90,194,False
Q,444,222,#FF8C00,35,False,270,126,False
Q,262,231,#0064FF,15,True,0,94,True
T,946,196,#FF8C00,15,True,0,0,True
T,712,61,#0064FF,15,True,180,194,False
Q,329,726,#FF8C00,15,True,180,198,False
T,251,516,#0064FF,15,True,270,196,False
Q,128,171,#FF8C00,35,False,270,184,False
Q,163,215,#0064FF,15,True,0,180,False
T,253,407,#0064FF,35,False,0,188,False
T,915,574,#FF8C00,35,False,270,194,False
Q,844,233,#FF8C00,15,True,0,21,True
T,617,501,#FF8C00,35,False,0,175,False
T,448,100,#0064FF,35,False,0,155,False
Q,707,320,#0064FF,35,False,90,193,False
T,755,347,#0064FF,15,True,90,191,False
T,205,259,#0064FF,35,False,90,180,False
Q,378,584,#0064FF,35,False,180,198,False
T,509,88,#FF8C00,35,False,270,181,False
T,949,382,#FF8C00,35,False,270,198,False
