shape,center_x,center_y,color_hex,size_px,is_small,rotation,bg_luminance,bg_dark
O,220,213,#0064FF,35,False,180,1,True
O,860,318,#FF8C00,35,False,180,24,True
L,308,671,#0064FF,15,True,270,0,True
O,619,493,#0064FF,15,True,270,0,True
Q,844,114,#FF8C00,35,False,180,194,False
T,211,425,#FF8C00,35,False,270,184,False
Q,379,686,#FF8C00,35,False,0,15,True
T,494,747,#0064FF,35,False,180,178,False
Q,112,520,#0064FF,15,True,0,194,False
Q,367,173,#FF8C00,15,True,0,198,False
T,659,533,#FF8C00,15,True,90,14,True
T,84,413,#FF8C00,15,True,180,184,False
T,567,200,#FF8C00,15,True,90,189,False
L,332,224,#FF8C00,15,True,90,184,False
Q,815,686,#0064FF,15,True,90,194,False
Q,316,328,#0064FF,35,False,0,198,False
Q,856,56,#FF8C00,15,True,90,200,False
Q,136,439,#0064FF,35,False,270,187,False
T,687,52,#0064FF,35,False,0,198,False
Q,57,595,#0064FF,35,False,180,194,False
T,85,180,#0064FF,15,True,90,146,False
Q,585,450,#0064FF,35,False,180,100,True
T,127,601,#FF8C00,35,False,90,202,False
T,549,128,#0064FF,15,True,180,180,False
T,928,741,#0064FF,35,False,180,194,False
T,192,473,#0064FF,35,False,0,191,False
Q,512,499,#0064FF,15,True,90,177,False
T,471,61,#0064FF,15,True,270,194,False
T,121,295,#0064FF,35,False,90,1,True
T,417,248,#FF8C00,15,True,180,194,False
T,930,391,#FF8C00,35,False,90,186,False
T,158,374,#0064FF,35,False,90,170,False
L,100,77,#FF8C00,35,False,180,194,False
Q,331,405,#FF8C00,35,False,180,198,False
T,872,223,#FF8C00,35,False,180,77,True
T,713,267,#FF8C00,15,True,90,0,True
Q,801,397,#0064FF,15,True,270,161,False
Q,853,629,#FF8C00,35,False,0,196,False
Q,259,717,#FF8C00,15,True,180,17,True
Q,697,628,#0064FF,35,False,90,153,False
T,164,218,#FF8C00,15,True,90,0,True
Q,558,371,#FF8C00,15,True,180,194,False
Q,640,336,#0064FF,35,False,0,151,False
T,629,139,#FF8C00,15,True,270,189,False
T,500,622,#FF8C00,15,True,0,191,False
Q,692,750,#0064FF,15,True,180,201,False
Q,387,604,#FF8C00,35,False,90,62,True
O,811,241,#FF8C00,15,True,90,24,True
T,934,209,#0064FF,15,True,180,154,False
Q,556,638,#FF8C00,15,True,90,166,False
T,214,541,#0064FF,35,False,180,191,False
T,451,425,#FF8C00,35,False,180,194,False
Q,111,731,#0064FF,35,False,90,189,False
T,356,502,#FF8C00,35,False,180,194,False
Q,586,567,#FF8C00,35,False,0,28,True
Q,599,670,#0064FF,15,True,0,165,False
T,931,464,#0064FF,35,False,90,194,False
Q,431,748,#0064FF,15,True,90,150,False
Q,592,255,#FF8C00,35,False,90,170,False
T,775,350,#0064FF,35,False,180,86,True
T,114,238,#FF8C00,15,True,0,0,True
L,231,652,#0064FF,35,False,0,21,True
Q,301,497,#FF8C00,15,True,270,196,False
T,906,81,#0064FF,15,True,0,201,False
Q,476,562,#FF8C00,15,True,180,193,False
